[game_title] タイマーインクリメンタル
[ach_one_hour_title] 一時間！
[ach_one_hour_desc] 累計時間が1時間に達する
[ach_time_traveler_title] タイムトラベラー
[ach_time_traveler_desc] 累計時間が10000秒に達する
[ach_100_minutes_title] 100分記念
[ach_100_minutes_desc] 100分を所有する
[ach_1000_minutes_title] 1000分伝説
[ach_1000_minutes_desc] 1000分を所有する
[ach_start_cycle_title] サイクル開始
[ach_start_cycle_desc] サイクルを1回完了する
[ach_time_controller_title] 時間の支配者
[ach_time_controller_desc] 倍率3.0x以上に達する
[ach_time_accelerator_title] 時間加速師
[ach_time_accelerator_desc] 倍率5.0xに達する
[ach_extreme_speed_title] 超加速
[ach_extreme_speed_desc] 速度倍率10.0xに達する
[ach_meteor_acceleration_title] 流星加速
[ach_meteor_acceleration_desc] 速度倍率25.0xに達する
[ach_prestige_beginning_title] プレステージの始まり
[ach_prestige_beginning_desc] 1000 SDPを所有する
[ach_fragment_obtained_title] 時間の欠片獲得
[ach_fragment_obtained_desc] 時間の欠片（VDP）を1個獲得する
[ach_first_rebirth_title] 転生初体験
[ach_first_rebirth_desc] 時間転生を1回完了する
[ach_fragment_reset_title] 欠片リセット
[ach_fragment_reset_desc] 時間の欠片リセットを1回完了する
[ach_fragment_upgrader_title] 欠片強化者
[ach_fragment_upgrader_desc] 時間の欠片アップグレードを1個購入する
[ach_fragment_craftsman_title] 欠片職人
[ach_fragment_craftsman_desc] 時間の欠片アップグレードを5個購入する
[ach_challenge_door_title] チャレンジの扉
[ach_challenge_door_desc] チャレンジを1つクリアする
[ach_challenge_master_title] チャレンジマスター
[ach_challenge_master_desc] チャレンジを3つクリアする
[ach_ultimate_challenge_title] 究極のチャレンジ
[ach_ultimate_challenge_desc] チャレンジを5つクリアする
[ach_hundred_year_solitude_title] 百年の孤独
[ach_hundred_year_solitude_desc] 52560000サイクル（分）を完了する
[ch_speed_demon_title] スピードデーモン
[ch_speed_demon_desc] 3分以内に速度倍率25xに達する
[ch_speed_demon_reward] 恒久的に基本速度 +1.0x
[ch_time_master_title] タイムマスター
[ch_time_master_desc] 2分以内に200サイクルを完了する
[ch_time_master_reward] サイクルボーナスアップグレードを解放
[ch_efficiency_expert_title] 効率専門家
[ch_efficiency_expert_desc] 使用分1000未満で速度倍率100xに達する
[ch_efficiency_expert_reward] コスト最適化アップグレードを解放
[ch_minimalist_master_title] ミニマリストマスター
[ch_minimalist_master_desc] アップグレードを一切購入せずに累計時間5000秒に達する
[ch_minimalist_master_reward] 自動分アップグレードを解放
[ch_golden_chaser_title] ゴールデンチェイサー
[ch_golden_chaser_desc] 10分以内にゴールデンタイムを5回発動させる
[ch_golden_chaser_reward] ゴールデンタイム確率が恒久的に +5%
[up_speed_boost_name] 速度強化
[up_speed_boost_desc] レベルごとに基本速度が恒久的に0.1x増加
[up_auto_seconds_name] 自動秒数
[up_auto_seconds_desc] レベルごとに毎秒自動で0.1秒獲得
[up_minute_boost_name] 追加分
[up_minute_boost_desc] レベルごとに毎秒追加で0.01分獲得
[up_speed_multiplier_name] 速度倍増
[up_speed_multiplier_desc] レベルごとに速度倍率が10%増加
[up_minute_multiplier_name] 分倍増
[up_minute_multiplier_desc] レベルごとに分獲得倍率が10%増加
[up_cycle_bonus_name] サイクルボーナス
[up_cycle_bonus_desc] 1サイクルごとに追加で1分獲得
[up_auto_minutes_name] 自動分
[up_auto_minutes_desc] レベルごとに毎秒自動で0.01分獲得
[up_cost_reduction_name] コスト最適化
[up_cost_reduction_desc] レベルごとに全アップグレードのコストが5%低下
[up_golden_time_name] ゴールデンタイム
[up_golden_time_desc] レベルごとにランダムで2倍報酬を獲得する確率が1%増加
[reb1_name] 時間転生アップグレード1
[reb1_desc] 転生後、秒数取得が×2、速度強化の効果が0.15になる
[reb2_name] 時間転生アップグレード2
[reb2_desc] 転生時に速度強化レベル3を保持し、分が秒速取得速度を向上させる
[reb3_name] 時間転生アップグレード3
[reb3_desc] 秒数取得が×2.5、分ごとに秒数倍率が0.01増加
[reb4_name] 時間転生アップグレード4
[reb4_desc] 所有している分の平方根に応じて秒生産が上昇
[reb5_name] 時間転生アップグレード5
[reb5_desc] SDV1チャレンジを解放
[reb6_name] 時間転生アップグレード6
[reb6_desc] コンバーターを解放し、60秒で1分獲得が 1 + √転生回数 倍になる
[reb7_name] 時間転生アップグレード7
[reb7_desc] SDV2を解放し、生産を向上
[reb8_name] 時間転生アップグレード8
[reb8_desc] ポイント生産が×7.8（SDV2クリアが必要）
[reb9_name] 時間転生アップグレード9
[reb9_desc] SDPアップグレードを購入するごとに速度強化効果が+0.02
[reb10_name] 時間転生アップグレード10
[reb10_desc] SDV3チャレンジを解放
[reb11_name] 時間転生アップグレード11
[reb11_desc] SDP取得が倍増し、SDPに応じて秒数取得が上昇
[vdp11_name] 時間の欠片アップグレード1-1
[vdp11_desc] 秒生産が×2、SDP獲得が×2
[vdp12_name] 時間の欠片アップグレード1-2
[vdp12_desc] 分取得が×3
[vdp21_name] 時間の欠片アップグレード2-1
[vdp21_desc] 所有分に応じて秒生産が向上：×(1 + 分^0.6)
[vdp22_name] 時間の欠片アップグレード2-2
[vdp22_desc] 現在のSDPに応じて秒生産が向上：×(1 + SDP^0.7)
[vdp23_name] 時間の欠片アップグレード2-3
[vdp23_desc] 現在のSDPに応じて分取得が向上：×(1 + SDP^0.55)
[vdp33_name] 時間の欠片アップグレード3-3
[vdp33_desc] チャレンジを1つクリアするごとに秒生産が+0.02
[vdp41_name] ブースター解放
[vdp41_desc] 追加ボーナスを提供するブースターシステムを解放
[sdv1_title] SDV1
[sdv1_desc] 1分が120秒になり、SDPがリセットされ、すべてのアップグレードが無視されます。目標：7777秒以内にチャレンジを完了する。
[sdv1_reward] クリア後、毎分の秒数が40秒になる
[sdv2_title] SDV2
[sdv2_desc] SDV2を解放、速度強化が+0.05、追加分の生産効率が倍増。
[sdv2_reward] SDV2専用の生産能力が向上
[sdv3_title] SDV3
[sdv3_desc] チャレンジ中は常にソフトキャップが発動し、生産が^0.8125になります。目標：2125秒以内に完了する。
[sdv3_reward] クリア後、毎分25%の確率で分が2倍になる
[current_bonus] 現在のボーナス
[current_income] 現在の収入
[current_multiplier_label] 現在の倍率
[cycle_reward] サイクルボーナス
[cost_reduced] コスト低下
[golden_probability] ゴールデン確率
[speed] 速度
[minutes_short] 分
[up_effect_speed] 現在のボーナス: +{0}x 速度
[up_effect_auto_seconds] 現在の収入: +{0} 秒/秒
[up_effect_minute_boost] 現在の収入: +{0} 分/秒
[up_effect_speed_multiplier] 現在の倍率: x{0} 速度
[up_effect_minute_multiplier] 現在の倍率: x{0} 分
[up_effect_cycle_bonus] サイクルボーナス: +{0} 分/サイクル
[up_effect_auto_minutes] 自動分: +{0} 分/秒
[up_effect_cost_reduction] コスト低下: {0}%
[up_effect_golden_time] ゴールデン確率: {0}%
[upgrade_button] アップグレード {0} {1}
[minutes_currency] 分
[theme_blue] 青
[theme_darkred] 赤
[theme_minimal] 黒
[theme_neon] 紫+青
[theme_yellow] 黄
[progress] 進行状況
[unlocked] 達成済み
[reward] 報酬
[time_limit] 制限時間
[in_progress] 進行中
[complete] 完了
[start_challenge] チャレンジ開始
[abandon_challenge] チャレンジ放棄
[no_time_limit] 制限時間なし
[rebirth_info] 転生情報
[rebirth_upgrades_tab] 転生アップグレード
[time_fragment_upgrades] 時間の欠片アップグレード
[sdv_challenges] SDVチャレンジ
[time_rebirth_points] 時間転生ポイント (SDP)
[time_fragments] 時間の欠片 (VDP)
[rebirth_count] 転生回数
[fragment_reset_count] 欠片リセット回数
[time_rebirth] 時間転生
[get_time_fragments] 時間の欠片を獲得
[current_rebirth_gain] 現在の転生で獲得可能：
[sdp_label] SDP
[rebirth_desc] 時間転生は現在のランをリセットし、SDPを獲得します。SDPは転生アップグレードの購入に使用できます。時間の欠片を獲得するとSDPを消費し、VDPが増加します。
[sdv_challenge_note] SDVチャレンジはメインチャレンジとは独立しており、クリアすると特別な転生報酬を獲得できます。
[time_rebirth_upgrades_desc] SDPを使用して時間転生アップグレードを購入し、転生の恩恵と特殊能力を強化します。
[time_fragment_upgrades_desc] VDPを使用して時間の欠片アップグレードを購入し、秒生産、分取得、転生効率を強化します。
[booster_level] ブースターレベル
[sdv_challenge_desc] SDVチャレンジは通常チャレンジとは独立しており、クリアで特別な転生ボーナスを獲得できます。同時に進行できるのは1つのチャレンジのみで、放棄後に再選択できます。
[current_sdv_challenge] 現在のSDVチャレンジ
[completed_sdv_challenges] 完了したSDVチャレンジ
[none] なし
[game_stats] ゲーム統計
[total_accumulated_seconds] 累計総秒数
[current_speed_multiplier] 現在の速度倍率
[highest_second_speed] 最高秒速
[current_minutes] 現在の分数
[current_seconds] 現在の秒数
[total_rebirths] 累計転生回数
[current_sdp] 現在のSDP
[current_vdp] 現在のVDP
[total_current_upgrades] 現在のアップグレード総数
[total_current_rebirth_upgrades] 現在の転生アップグレード総数
[current_challenges_completed] 現在のチャレンジクリア数
[save_created_time] セーブ作成時間
[save_elapsed_time] セーブ経過時間
[current_theme] 現在のテーマ
[footer_text] 時を超えて - BY
[speed_boost] 速度強化
[speed_boost_desc] レベルごとに基本速度が恒久的に0.1x増加
[auto_seconds] 自動秒数
[auto_seconds_desc] レベルごとに毎秒自動で0.1秒獲得
[extra_minutes] 追加分
[extra_minutes_desc] レベルごとに毎秒追加で0.01分獲得
[speed_multiplier] 速度倍増
[speed_multiplier_desc] レベルごとに速度倍率が10%増加
[minute_multiplier] 分倍増
[minute_multiplier_desc] レベルごとに分獲得倍率が10%増加
[cycle_bonus] サイクルボーナス
[cycle_bonus_desc] 1サイクルごとに追加で1分獲得
[auto_minutes] 自動分
[auto_minutes_desc] レベルごとに毎秒自動で0.01分獲得
[cost_optimization] コスト最適化
[cost_optimization_desc] レベルごとに全アップグレードのコストが5%低下
[golden_time] ゴールデンタイム
[golden_time_desc] レベルごとにランダムで2倍報酬を獲得する確率が1%増加
[current_bonus] 現在のボーナス
[current_income] 現在の収入
[current_multiplier_label] 現在の倍率
[cycle_reward] サイクルボーナス
[cost_reduced] コスト低下
[golden_probability] ゴールデン確率
[upgrade] アップグレード
[completed] 完了
[purchase] 購入
[minutes_currency] 分
[need_purchase_previous] 先に前の項目を購入
[sdp_currency] SDP
[vdp_currency] VDP
[challenge_mode_title] チャレンジモード
[current_challenge] 現在のチャレンジ
[remaining_time] 残り時間
[exit_challenge] チャレンジ終了
[welcome_challenge] チャレンジモードへようこそ！
[challenge_desc_text] チャレンジモードでは、さまざまな制限と目標に直面します。チャレンジを成功させると恒久的な報酬を獲得できます！
[challenge_rules_title] チャレンジルール：
[challenge_rule1] チャレンジモード中はアップグレードを購入できません
[challenge_rule2] チャレンジには制限時間または特殊条件があります
[challenge_rule3] 失敗または退出すると、現在の進行状況がリセットされます
[challenge_rule4] 成功すると恒久的な報酬を獲得できます
[enter_challenge_mode] チャレンジモードに入る
[time_limit] 制限時間
[reward] 報酬
[progress] 進行状況
[in_progress] 進行中
[complete] 完了
[start_challenge] チャレンジ開始
[abandon_challenge] チャレンジ放棄
[achievement_first_step] 第一歩
[achievement_first_step_desc] 初めてアップグレードを購入する
[achievement_one_hour] 一時間！
[achievement_one_hour_desc] 累計時間が1時間に達する
[achievement_time_traveler] タイムトラベラー
[achievement_time_traveler_desc] 累計時間が10000秒に達する
[achievement_100_minutes] 100分記念
[achievement_100_minutes_desc] 100分を所有する
[achievement_1000_minutes] 1000分伝説
[achievement_1000_minutes_desc] 1000分を所有する
[achievement_start_cycle] サイクル開始
[achievement_start_cycle_desc] サイクルを1回完了する
[achievement_time_controller] 時間の支配者
[achievement_time_controller_desc] 倍率3.0x以上に達する
[achievement_time_accelerator] 時間加速師
[achievement_time_accelerator_desc] 倍率5.0xに達する
[achievement_extreme_speed] 超加速
[achievement_extreme_speed_desc] 速度倍率10.0xに達する
[achievement_meteor_acceleration] 流星加速
[achievement_meteor_acceleration_desc] 速度倍率25.0xに達する
[achievement_prestige_beginning] プレステージの始まり
[achievement_prestige_beginning_desc] 1000 SDPを所有する
[achievement_fragment_obtained] 時間の欠片獲得
[achievement_fragment_obtained_desc] 時間の欠片（VDP）を1個獲得する
[achievement_first_rebirth] 転生初体験
[achievement_first_rebirth_desc] 時間転生を1回完了する
[achievement_fragment_reset] 欠片リセット
[achievement_fragment_reset_desc] 時間の欠片リセットを1回完了する
[achievement_fragment_upgrader] 欠片強化者
[achievement_fragment_upgrader_desc] 時間の欠片アップグレードを1個購入する
[achievement_fragment_craftsman] 欠片職人
[achievement_fragment_craftsman_desc] 時間の欠片アップグレードを5個購入する
[achievement_challenge_door] チャレンジの扉
[achievement_challenge_door_desc] チャレンジを1つクリアする
[achievement_challenge_master] チャレンジマスター
[achievement_challenge_master_desc] チャレンジを3つクリアする
[achievement_ultimate_challenge] 究極のチャレンジ
[achievement_ultimate_challenge_desc] チャレンジを5つクリアする
[achievement_hundred_year_solitude] 百年の孤独
[achievement_hundred_year_solitude_desc] 52560000サイクル（分）を完了する
[import_prompt] セーブ文字列を貼り付けてください：
[export_prompt] 下のセーブコードをコピーしてください：
[import_success] インポート成功！ゲームがリフレッシュされます。
[import_error] セーブデータが無効で、解析できません！完全にコピーされているか確認してください。
[delete_confirm] ⚠️ 警告：この操作により、セーブデータ、実績の進行状況、クリック記録、マイルストーンなど、すべてのゲームデータが完全に削除されます。
[delete_confirm_question] 本当にすべてのデータを削除して最初からやり直しますか？
[delete_success] すべてのデータが完全に消去されました！
[save_load_error] セーブの読み込みに失敗しました：
[save_check_message] セーブデータが正しいか確認するか、再インポートをお試しください。
[exit_challenge_confirm] チャレンジモードを終了しますか？現在の進行状況は失われます。
[exit_challenge_success] チャレンジモードを終了しました。
[enter_challenge_success] チャレンジモードに入りました！チャレンジを選択して開始できます。
[challenge_start_message] チャレンジ開始！
[target] 目標：
[time_format] 分
[rebirth_need_minutes] 時間転生には少なくとも10分必要です。
[rebirth_success] 時間転生に成功し、獲得しました：
[vdp_need_sdp] 時間の欠片を獲得するには少なくとも1000 SDPが必要です。
[vdp_cannot_obtain] 現在、時間の欠片を獲得できません。
[vdp_obtained] 獲得しました：
[time_fragments_obtained] 時間の欠片！
[abandon_sdv_confirm] 現在のSDVチャレンジを放棄しますか？
[sdv_started] SDVチャレンジを開始しました：
[sdv_unlock_hint] 対応するSDV転生アップグレードの購入後に解放されます
[challenge_failed] チャレンジ失敗！時間切れです。
[speed_calc_error] 速度計算でエラーが発生し、デフォルト値に復元されました:
[speed_calc_error_hint] セーブデータの破損が原因の可能性があります。
[seconds_per_second] 秒/秒
[minutes_per_second] 分/秒
[minutes_per_cycle] 分/サイクル
[minutes_per_second_auto] 分/秒
[seconds] 秒
[no_time_limit] 制限時間なし
[unlocked] 達成済み
[locked_status] 未解放
[start_sdv] SDV開始
[abandon_sdv] SDV放棄
[rebirth_gain_sdp] 時間転生（{0} SDP獲得可能）
[upgrade_completed] 完了
[need_purchase_previous] 先に前の項目を購入
[purchase_button] 購入 {0} {1}
[sdp_currency] SDP
[upgrade_completed] 完了
[need_purchase_previous] 先に前の項目を購入
[purchase_button] 購入 {0} {1}
[vdp_currency] VDP
[start_sdv] SDV開始
[abandon_sdv] SDV放棄
[sdv_unlock_hint] 対応するSDV転生アップグレードの購入後に解放されます
[abandon_sdv_confirm] 現在のSDVチャレンジを放棄しますか？
[rebirth_button_text] 時間転生（{0} SDP獲得可能）
[insufficient_funds] 残高不足
[unit_seconds_per_second] 秒/s
[none] なし
[yes] はい
[no] いいえ
[basic_upgrades] 基本アップグレード
[advanced_upgrades] 高度なアップグレード
[expert_upgrades] 達人アップグレード
[lang_zh] 中文
[lang_en] English
[lang_ja] 日本語
[lang_ko] 한국어
[lang_fr] Français
[language_desc] インターフェース言語を選択
[load_language_fail] 言語の読み込みに失敗しました
[change_language] Change Language
[choose_language] Choose Language
[lang_de] Deutsch
[lang_es] Español
[lang_pt] Português
[lang_it] Italiano
[lang_ru] Русский
[lang_ar] العربية
[lang_hi] हिंदी
[lang_th] ไทย
[lang_vi] Tiếng Việt
[lang_id] Bahasa Indonesia
[lang_tr] Türkçe
[lang_pl] Polski
[lang_nl] Nederlands
[lang_sv] Svenska
[lang_da] Dansk
[lang_fi] Suomi
[lang_nb] Norsk bokmål
[lang_cs] Čeština
[lang_hu] Magyar
[lang_ro] Română
